iter	Passed	Remaining
0	168	168598
1	169	84789
2	170	56801
3	174	43397
4	177	35403
5	182	30258
6	184	26116
7	185	22944
8	189	20828
9	191	18978
10	197	17782
11	199	16399
12	200	15204
13	202	14265
14	204	13442
15	209	12889
16	210	12186
17	211	11550
18	213	11009
19	217	10634
20	218	10195
21	222	9880
22	227	9646
23	230	9376
24	233	9100
25	239	8963
26	241	8703
27	244	8475
28	246	8238
29	248	8031
30	252	7877
31	257	7779
32	258	7579
33	263	7498
34	270	7451
35	272	7296
36	274	7148
37	283	7172
38	285	7037
39	289	6940
40	294	6886
41	302	6895
42	305	6801
43	308	6700
44	315	6696
45	317	6574
46	318	6464
47	323	6406
48	326	6343
49	331	6299
50	333	6196
51	335	6109
52	336	6008
53	337	5906
54	339	5828
55	340	5748
56	343	5681
57	346	5624
58	350	5594
59	352	5521
60	354	5454
61	362	5480
62	363	5404
63	364	5328
64	366	5265
65	367	5198
66	369	5140
67	372	5099
68	377	5096
69	379	5047
70	381	4991
71	382	4933
72	385	4896
73	389	4876
74	390	4820
75	391	4765
76	393	4712
77	394	4667
78	396	4627
79	398	4579
80	403	4576
81	405	4535
82	405	4482
83	406	4433
84	407	4386
85	408	4344
86	409	4301
87	411	4260
88	411	4216
89	412	4173
90	413	4132
91	414	4091
92	415	4054
93	416	4015
94	417	3978
95	418	3941
96	419	3904
97	420	3869
98	421	3833
99	423	3807
100	425	3783
101	428	3775
102	430	3747
103	431	3718
104	432	3686
105	433	3654
106	434	3624
107	435	3597
108	436	3569
109	438	3544
110	439	3521
111	440	3495
112	441	3467
113	442	3440
114	443	3415
115	444	3388
116	445	3361
117	446	3335
118	447	3309
119	447	3284
120	448	3260
121	449	3234
122	450	3210
123	453	3206
124	457	3200
125	458	3180
126	459	3156
127	460	3135
128	461	3114
129	462	3094
130	463	3073
131	464	3052
132	465	3033
133	468	3025
134	469	3010
135	470	2991
136	471	2971
137	472	2952
138	473	2933
139	474	2916
140	475	2898
141	476	2878
142	477	2861
143	478	2844
144	479	2827
145	484	2835
146	486	2825
147	489	2816
148	490	2799
149	491	2783
150	492	2768
151	493	2754
152	501	2773
153	502	2758
154	503	2742
155	504	2728
156	505	2714
157	506	2699
158	507	2684
159	508	2669
160	508	2652
161	513	2657
162	515	2648
163	517	2638
164	520	2635
165	523	2628
166	529	2643
167	532	2636
168	534	2628
169	535	2613
170	536	2599
171	537	2587
172	538	2574
173	541	2572
174	543	2564
175	548	2566
176	549	2556
177	550	2543
178	551	2531
179	552	2518
180	555	2512
181	558	2510
182	560	2500
183	561	2488
184	562	2476
185	563	2464
186	563	2451
187	564	2439
188	566	2431
189	567	2421
190	571	2422
191	575	2420
192	579	2424
193	580	2413
194	581	2402
195	582	2390
196	583	2378
197	588	2385
198	590	2375
199	591	2366
200	592	2355
201	593	2344
202	594	2334
203	595	2324
204	596	2313
205	597	2302
206	598	2292
207	600	2287
208	601	2277
209	603	2268
210	605	2265
211	606	2255
212	607	2245
213	608	2234
214	609	2224
215	610	2214
216	611	2205
217	611	2195
218	612	2185
219	613	2175
220	616	2174
221	618	2167
222	619	2157
